City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,florencia,43.7667,11.25,23.53,82,0,1.54,IT,2023-07-19
1,bharatpur,27.2167,77.4833,31.67,60,97,3.38,IN,2023-07-19
2,namibe,-15.1961,12.1522,19.23,54,0,1.98,AO,2023-07-19
3,edinburgh of the seven seas,-37.0676,-12.3116,15.17,95,100,8.74,SH,2023-07-19
4,west island,-12.1568,96.8225,25.99,83,75,6.69,CC,2023-07-19
5,baotou,40.6522,109.8222,28.84,27,8,5.66,CN,2023-07-19
6,foindu,7.4108,-11.5422,22.99,98,100,1.04,SL,2023-07-19
7,karratha,-20.7377,116.8463,24.23,21,2,5.48,AU,2023-07-19
8,puerto natales,-51.7236,-72.4875,-1.79,85,100,0.94,CL,2023-07-19
9,uturoa,-16.7333,-151.4333,26.92,74,36,8.56,PF,2023-07-19
10,blackmans bay,-43.0167,147.3167,9.07,68,71,0.92,AU,2023-07-19
11,guerrero negro,27.9769,-114.0611,21.25,77,5,8.44,MX,2023-07-19
12,broken hill,-31.95,141.4333,12.95,49,0,4.56,AU,2023-07-19
13,westport,41.1415,-73.3579,24.95,85,40,0.89,US,2023-07-19
14,new norfolk,-42.7826,147.0587,9.72,55,91,0.93,AU,2023-07-19
15,east ballina,-28.8667,153.5833,20.44,59,0,6.97,AU,2023-07-19
16,saint-joseph,-21.3667,55.6167,20.21,76,18,6.51,RE,2023-07-19
17,frontera,26.9333,-101.45,34.69,20,0,6.1,MX,2023-07-19
18,lihue,21.9789,-159.3672,29.77,66,75,10.29,US,2023-07-19
19,khandyga,62.6667,135.6,22.3,52,73,1.44,RU,2023-07-19
20,menongue,-14.6585,17.691,8.01,43,0,0.9,AO,2023-07-19
21,waitangi,-43.9535,-176.5597,14.9,76,0,0.89,NZ,2023-07-19
22,upington,-28.4478,21.2561,10.21,87,0,3.09,ZA,2023-07-19
23,fortuna,40.5982,-124.1573,16.48,81,20,5.14,US,2023-07-19
24,port mathurin,-19.6833,63.4167,23.53,75,100,10.38,MU,2023-07-19
25,chinchilla,-26.75,150.6333,20.34,34,0,5.67,AU,2023-07-19
26,nuuk,64.1835,-51.7216,10.34,93,100,3.09,GL,2023-07-19
27,wailua homesteads,22.0669,-159.378,29.44,67,75,10.29,US,2023-07-19
28,rawson,-43.3002,-65.1023,6.15,64,100,12.01,AR,2023-07-19
29,yarmouth,41.7057,-70.2286,25.03,93,75,3.09,US,2023-07-19
30,sretensk,52.2453,117.7093,22.49,52,63,4.17,RU,2023-07-19
31,nagqu,31.5,92.0,5.65,81,100,1.34,CN,2023-07-19
32,kingston,17.997,-76.7936,29.53,75,20,7.72,JM,2023-07-19
33,udachny,66.4167,112.4,20.76,52,16,9.57,RU,2023-07-19
34,bilibino,68.0546,166.4372,25.59,47,5,1.72,RU,2023-07-19
35,belmonte,-15.8631,-38.8828,22.03,80,4,1.89,BR,2023-07-19
36,arraial do cabo,-22.9661,-42.0278,21.31,89,100,1.94,BR,2023-07-19
37,gadzhiyevo,69.2551,33.3362,14.04,82,40,2.77,RU,2023-07-19
38,tosontsengel,48.7567,98.2839,16.17,64,75,1.61,MN,2023-07-19
39,tiksi,71.6872,128.8694,8.24,74,97,7.8,RU,2023-07-19
40,port-aux-francais,-49.35,70.2167,2.99,72,69,14.14,TF,2023-07-19
41,luanda,-8.8368,13.2343,22.0,83,75,1.03,AO,2023-07-19
42,ushuaia,-54.8,-68.3,2.81,70,0,2.06,AR,2023-07-19
43,grytviken,-54.2811,-36.5092,-0.81,87,34,4.11,GS,2023-07-19
44,fayzabad,37.1166,70.58,27.35,27,2,0.55,AF,2023-07-19
45,tralee,52.2704,-9.7026,13.69,91,99,3.07,IE,2023-07-19
46,mount gambier,-37.8333,140.7667,10.33,57,9,4.4,AU,2023-07-19
47,mufumbwe,-13.6833,24.8,9.14,59,0,2.27,ZM,2023-07-19
48,alo,7.4178,6.7371,24.16,96,99,1.29,NG,2023-07-19
49,mejit,10.2753,170.8646,28.25,81,100,4.75,MH,2023-07-19
50,ribeira grande,38.5167,-28.7,20.99,79,100,0.45,PT,2023-07-19
51,adamstown,-25.066,-130.1015,21.7,80,83,1.8,PN,2023-07-19
52,olonkinbyen,70.9221,-8.7187,4.69,93,100,6.33,SJ,2023-07-19
53,itaituba,-4.2761,-55.9836,24.53,55,19,0.73,BR,2023-07-19
54,saint-sulpice-la-pointe,43.7742,1.6874,22.37,80,97,3.06,FR,2023-07-19
55,enewetak,11.3474,162.3373,28.67,75,63,5.78,MH,2023-07-19
